user,location,tweet,timeStamp
@marilynbass135,Chicago,Just ran into my favorite guy @L_Dokubo13 & we are both seriously missing you @Jay_jE5 & @J_Hicks2  #christmasbreak,10:28 PM - 2 Oct 2015
@hposton42,"Benton, LA",when bae says their home alone @abigailsl1997 @Alex_Acurio I just earned myself a death sentence #christmasbreakpic.twitter.com/WPhqv3PfNv,12:58 PM - 13 Jul 2015
@GracieSinisalo,,"wake up, go to subway, watch SVU for 5 hours, find some sort of sporting event to go to, sleep #repeat #christmasbreak",1:15 PM - 19 Jan 2015
@mrasmussen11,"Grand Rapids, Michigan",I've watched eight seasons of tv in five days. #christmasbreak,7:20 PM - 9 Jan 2015
@chazwhatitdo,,"Oh, it's getting late. I better get out of bed so I can watch tv on the couch.. #ChristmasBreak",10:01 AM - 9 Jan 2015
@_HannahRoth,,"I am ashamed to say how many episodes of Friends I have watched today. Also, the number of KitKats I have eaten. #ChristmasBreak",5:34 PM - 7 Jan 2015
@Sam_it_up,"Dayton, OH","Hey @JacksonTeachSci, Matthew Hounshell will be missing 1st period tomorrow! He's turning up with some college kids. #ChristmasBreak",6:10 PM - 6 Jan 2015
@mynamebeday,Oklahoma State University,"Never been so appreciative for the ability to sit down! 
#I'mbackbaby
#ChristmasBreak
#GOPOKES",2:27 PM - 6 Jan 2015
@frissy37,,RIP to the endless days of Netflix and naps. #christmasbreak,10:24 AM - 6 Jan 2015
@savvybus,,Just set 5 alarms... I better wake up. #HungOver from #ChristmasBreak ,9:22 PM - 4 Jan 2015
@IFzachbowser,"Salt Lake City, UT",Was fun having some time off over the past couple weeks. Blessed to live where I do. #ChristmasBreak #northwestpic.twitter.com/lT4yXmTdTK,8:43 PM - 4 Jan 2015
@JesseDanimals,chinook MT,I think i forgot how to school... #uhoh #christmasbreak #isover,5:55 PM - 4 Jan 2015
@TeachingHS,High School USA,"Teaching isn't fun anymore.
#ChristmasBreak #TeacherLifepic.twitter.com/YgcHCdfhvc",3:54 PM - 4 Jan 2015
@Moore_Of_Hannah,,"Time to start on my almost completely blank Critical Reading Journal
#ChristmasBreak
#ShouldntHaveTakenAPLit",8:57 AM - 4 Jan 2015
@Loveylevasseur,"Waverly, IA",Enjoying some hot cocoa with my co-workers on my last day of work!! #job #lastday #christmasbreak,5:30 AM - 3 Jan 2015
@JosieScherek,,My bed & gossip girl  #christmasbreak,7:17 PM - 1 Jan 2015
@BluntEducator,United States,"What day is it again?

#ChristmasBreak",7:04 PM - 1 Jan 2015
@kitkatevans,"Colorado Springs, CO","""Didn't you wear that yesterday?"" 
Yes, and the day before that & I'll probably wear it again tomorrow. Thank you. #Christmasbreak",7:48 AM - 31 Dec 2014
@Monarchs_bball,"Marysville, OH",White team dominating squad kickball game! #Christmasbreakpic.twitter.com/SKLlfe5NNC,11:07 AM - 29 Dec 2014
@Kenz_Anderson,Michigan,lost 10 lbs in one semester of college & gained it all back in one week #christmasbreak,8:39 PM - 28 Dec 2014
@wIllcvnnon,,I ate 20 Reese's cups today #ChristmasBreak,8:34 PM - 28 Dec 2014
@ShelbbsssG,"Grand Rapids, MI",I've gained a solid 15 pounds in the past week #christmasbreak,5:57 PM - 28 Dec 2014
@its__just__alex,ETSU College of Nursing,When your parents tell you break isn't just for sleeping. #christmasbreakpic.twitter.com/T96nZduHOa,10:48 AM - 28 Dec 2014
@ProudMtrsports,"Oswego, NY",Sure doesn't look or feel like #ChristmasBreak at the #SteelPalace @OswegoSpeedway. Close to only 100 Days to go...pic.twitter.com/5lt8pD8lSB,8:59 AM - 28 Dec 2014
@Cash_McGregor,,Nothing like sleeping until 6pm  #ChristmasBreak #WhatisaSleepschedule,11:49 PM - 27 Dec 2014
@BedfordHotel,Tavistock,We had a lot of fun with #lola and #phoebe this #christmasbreak @DoggyDevon #Dartmoor http://www.bedford-hotel.co.uk/breaks/christmas-breaks …pic.twitter.com/cEgNg5PGfz,11:19 AM - 27 Dec 2014
@austinlove93,"Kansas City, MO",When you share a great idea for a family  activity but everyone else keeps doing their own thing. #ChristmasBreak https://vine.co/v/OHDjYbBiO9q ,9:37 AM - 27 Dec 2014
@PaigeHaefer,"San Francisco, CA",I think I've slept more in the past week then I have in my entire life. #christmasbreak,9:06 AM - 27 Dec 2014
@cpgaul,,"Sometimes I feel guilty waking up at lunch time... but today it just feels right:)
#latenight #Christmasbreak #catchingup",9:05 AM - 27 Dec 2014
@JaredKramer37,The yard,I love not knowing what day it is #christmasbreak,8:01 AM - 27 Dec 2014
@Borgy___,Huge  🅿️13,Want to be asleep by 10. Don't turn off the TV till 2 #Christmasbreak,10:22 PM - 26 Dec 2014
@ErrorJustin,"San Francisco, CA",Spent the afternoon solving the mystery in the kid's book The Eleventh Hour. It was awesome. #Christmasbreak,6:39 PM - 26 Dec 2014
@josiahhawley,"Los Angeles, CA",When in #Arkansas...! #Family #holidays #Christmasbreak #iwantmyownactionmoviepic.twitter.com/CdpjGtqXBQ,5:13 PM - 26 Dec 2014
@Fregona13,"Mississauga, Ont / Durham, NH","Worst part about this weather, is it means no pond hockey #christmasbreak #brrp",11:05 AM - 26 Dec 2014
@HannahBernier,,“@Carrie_Bradsh4w: Me right now.... https://twitter.com/girlposts/status/548318775561707520/photo/1pic.twitter.com/SyVBGnEAe0 ”  @katie_forte #ChristmasBreak,5:16 AM - 26 Dec 2014
@rossj2,"Salt Lake City, UT",Is it really a friendly family volleyball game if no one fights or cries? #christmasbreak,3:51 PM - 24 Dec 2014
@devinbaver,"Ridgefield, CT","""We brag about you, we lie, but we brag about you."" My mom loves me so much #christmasbreak",3:14 PM - 24 Dec 2014
@belliso_O,Parking Spot 183,Got showered and changed into another pair of pajamas #christmasbreak,1:18 PM - 24 Dec 2014
@mat_oren,,Making the best of what I was given #greenChristmas #christmasbreakpic.twitter.com/fAlugdPqmf,10:38 AM - 24 Dec 2014
@jady_rae,wherever the rim's at,yayyy it's #Christmasbreak what I've been waiting for since school started! ,7:06 PM - 23 Dec 2014
@zacklane97,,Doing nothing every night is depressing #christmasbreak,3:16 PM - 23 Dec 2014
@jonahfedders,,Might have failed a couple of tests but at least I'm done....#christmasbreak,2:13 PM - 23 Dec 2014
@DanielElordi23,"Tampa, FL","Eat breakfast, go back to sleep
Eat lunch, go back to sleep
Eat dinner, go back to sleep
#ChristmasBreak",11:23 AM - 23 Dec 2014
@BklynSquint,"Brooklyn, NY",One hour to go...#Christmasbreak,10:30 AM - 23 Dec 2014
@JayMeadors,Little Rock  ✈️ DFW Metroplex,"Holiday Hustle! @christyn2000 getting in today. @CACLadyMustangs @ArkansasBanshee
#NoDaysOff #ChristmasBreak? #Yodapic.twitter.com/IPrZsGTNha",10:16 AM - 23 Dec 2014
@Will_the_Pope,,I set an alarm this morning only so I could go get chicken minis #Christmasbreak,8:10 AM - 23 Dec 2014
@brendan__muir,,It's 11am and I've already played 17 games of ping pong with my brother #ChristmasBreak,8:07 AM - 23 Dec 2014
@Pooja_Joseph,"Bangalore, India",The Good Life :) #christmasbreak #home #kerala @huftindia @BarknBond @themagwithawagpic.twitter.com/liQkharRE9,11:33 PM - 22 Dec 2014
@Alexander_K47,,Bout to down this egg nog like Timmy Turner's dad. #eggnog #ChristmasBreak,8:29 PM - 22 Dec 2014
@LAMSPrincipal,,JV/V girls bball with two big wins over a very good Silex team! Keep working hard ladies! #wcr3 #ChristmasBreak,7:19 PM - 22 Dec 2014
@felicianavidad_,,I thought I'd be decent at ice skating but then I remembered I should probably be decent at walking on land first #christmasbreak #clumsy,5:56 PM - 22 Dec 2014
@NicolasJBechtel,"Los Angeles, Ca","My sister, Brooklyn and Londyn #friendsforever #christmasbreak pic.twitter.com/6BPmydmBkj",5:45 PM - 22 Dec 2014
@gmangriffg,"Nashville, TN",I've only said like 6 words out loud today #christmasbreak,2:26 PM - 22 Dec 2014
@MeyerCory23,"Coon Rapids, IA",The toughest decision I have to make today is to watch MNF from my couch or the recliner. #ChristmasBreak,1:39 PM - 22 Dec 2014
@canunzi,"Georgia, USA",I just keep hitting the refresh on Instagram and twitter #ChristmasBreak,11:39 AM - 22 Dec 2014
@mcluhancss,"Toronto, ON","Where is everyone?! Oh, right... #christmasbreak",6:54 AM - 22 Dec 2014
@sherryngick,Indiana,#CoenMasterBuilder just announced he's very busy this morning coding a detailed sequence in @blocksworldgame #ChristmasBreak #KidsCanCode,5:53 AM - 22 Dec 2014
@__HakunaMATTata,,knowing I get to sleep in on weekdays is prime #christmasbreak,9:54 PM - 21 Dec 2014
@audrey_e_fields,,I tweeted this using just my nose. #ChristmasBreak,9:54 PM - 21 Dec 2014
@colepatrick98,just chillin in cedar rapids,You can hurt us any longer #ChristmasBreakpic.twitter.com/9X8sGrU9r0,7:29 PM - 21 Dec 2014
@KipKipHurray,|-/,Praise the Lord for a Sunday night not ruined by school the next day #christmasBREAK,6:15 PM - 21 Dec 2014
@vivatvchannel,,This #christmasbreak may time na kayong mag @jamesxreid and @hellobangsie video marathon via https://www.youtube.com/playlist?list=PL8FS5vAg45okS11NpnQRaP2vyITKULMx4 … #HappyChristmas Enjoy!,6:12 PM - 21 Dec 2014
@Anna_Alexander_,"Omaha, NE",Wake up. Eat cookies. Go back to sleep. Repeat. #ChristmasBreak,5:12 PM - 21 Dec 2014
@robyweah,,First run in #bend.. Excited to use all my @skechersGO winter gear! #golikeneverbefore #ChristmasBreakpic.twitter.com/reQAtftrwr,4:35 PM - 21 Dec 2014
@daktjaden5,,Monday and Tuesday are a waste of time.. Everybody is already checked out. #christmasbreak,4:14 PM - 21 Dec 2014
@CorryMulligan,,Rolled my ankle while walking my dog #ChristmasBreak,2:17 PM - 21 Dec 2014
@jacksonbalcom,,Feels good not havin to worry about homework today. #christmasbreak,11:24 AM - 21 Dec 2014
@ToqueLuc,from the untamed wilds of B.C.,"I've been getting up at 6 every morning,
and then immediately taking a 3-4 hour nap.
#SeizeTheDay #ChristmasBreak #InvestInRest",11:13 AM - 21 Dec 2014
@EmbraceSpectrum,NC,10 Reasons Why Christmas Break Isn't Really a Break http://wp.me/p57CDD-Fu  #christmasbreak #norestfortheweary #momsanity,11:01 AM - 21 Dec 2014
@gabbywest11,,just gotta get through one and a half more days then we're free #christmasbreak,10:49 AM - 21 Dec 2014
@KelseaBallerini,"Nashville, TN","I'm not gonna lie to you,  it's noon and I still haven't gotten out of bed. #christmasbreak #lazymorning #yesplease",9:54 AM - 21 Dec 2014
@LaneRohrich1,The Good Life,"Gonna be back in the 402 for a while. Thank you, Jesus! #ChristmasBreak",10:22 PM - 20 Dec 2014
@BradenCalton,,Lord of The rings and Hobbit Marathon... Complete. (: #christmasbreak,9:25 PM - 20 Dec 2014
@rcherry71,"Toledo, OH",@RockyPatelCigar Royale in the #CherryLounge. Day 1 of the #ChristmasBreak #happyhumidorspic.twitter.com/OAmYYBqcRQ,7:30 PM - 20 Dec 2014
@stevetaylor1199,"Knoxville,Tennessee",Enjoying a night by the fire. #christmasbreakpic.twitter.com/6JhxACmPY6,6:07 PM - 20 Dec 2014
@bonnie_peterson,,My teacher just sent our syllabus. NO ONE WANTS TO LOOK AT THAT RIGHT NOW...  #christmasBREAK #badtiming,2:43 PM - 20 Dec 2014
@KMyllari,,Back in Ottawa now #christmasbreak,12:04 PM - 20 Dec 2014
@ParkerShrek,,"This break from school is much needed! Can't wait to see friends, family, and to just stop thinking about school for awhile #Christmasbreak",11:10 AM - 20 Dec 2014
@sara3lizab3th29,,It feels so good just to lay in bed and not have to worry about a thing #christmasbreak ,5:42 AM - 20 Dec 2014
@AlexisMarie268,"Plainview, Texas",Good times with @crawford_dakota @BrennenLeFevre @maxagerber #ChristmasBreak #gladyoureback,10:27 PM - 19 Dec 2014
@hunterbostick,,"Still came out with a W. 

#glorytogod
#christmasbreak",8:33 PM - 19 Dec 2014
@Cswitz08,,Heading back to Muskegon tomorrow #Skeetown #ChristmasBreak,8:21 PM - 19 Dec 2014
@NHSBoosterClub,,Our students have Christmas spirit tonight. #wildcatpride #neoshowildcatbasketball #christmasbreak #UglySweaterpic.twitter.com/FDnkYgvBp9,5:05 PM - 19 Dec 2014
@Oman2Bill,Pacific NW,Made it #ChristmasBreak,4:53 PM - 19 Dec 2014
@kourt_4williams,"Scottsdale, AZ",Yuhhh girl is finally heading home to Minnesota after 7 long months  #christmasbreak #notreadyforthecold,3:59 PM - 19 Dec 2014
@MuzicByMozart,LA - The world is my home!,Do u think I can wear my #santa hat 2 the #Christmas party t2nite?  #Christmasbreakpic.twitter.com/RQEfl7M8wh,3:15 PM - 19 Dec 2014
@Taggart7,"Papa Doug's, Ontario",Kids are going apeshit already. #ChristmasBreak,2:57 PM - 19 Dec 2014
@kristey4rep77,"Augusta, KS",Thanks @CoachKohlman for being an awesome teacher! Have a wonderful break with your family! #christmasbreakpic.twitter.com/bs5G1mklJZ,2:13 PM - 19 Dec 2014
@samBESTby,"Collegeville, MN",You know it's going to be a good day when bæ starts your day off with cbou  #HappyFriday #ChristmasBreak,1:26 PM - 19 Dec 2014
@natcurrie9,,deleted my power school app #christmasbreak,12:30 PM - 19 Dec 2014
@mia_stipes,"champaign, il",When I finished my last final today I came home and put my pj's back on #christmasbreak,11:37 AM - 19 Dec 2014
@kaylin_22sauve,VKH,The best feeling #christmasbreakpic.twitter.com/GkzITM5Ona,11:16 AM - 19 Dec 2014
@biowithMrsD,"Halifax, Nova Scotia","Wishing all of my students a very happy and safe holiday!  Be kind to one another, be safe & I will see you all in January #christmasbreak",11:00 AM - 19 Dec 2014
@BrandenMendozaa,Houston TX,Today is the last day of school for a lot of you!!! :D #freedom #christmasbreak #MOEfamily,10:35 AM - 19 Dec 2014
@colewild11,,Can't wait to be in the 701 again  #christmasbreak,9:52 AM - 19 Dec 2014
@AmySward,Central PA,"Work today, Monday, and Tuesday... then 12 days off... I am so ready!  #christmasbreak",9:01 AM - 19 Dec 2014
@2twinkies2luv,"Nevada, USA",Let's bring on the holiday cheer!  We're ready! #christmasbreak #love http://instagram.com/p/wy1WjiAsXt/ ,8:02 AM - 19 Dec 2014
@TreasureQuestBC,,#HomeSchoolTQ is today! It's our last TQ before #ChristmasBreak ! #PrayerBackInSchool,7:03 AM - 19 Dec 2014
@NewBridge8th,"Jacksonville, NC",Last day of school for 2014 is underway @OnslowSchools #ChristmasBreakpic.twitter.com/E5sRhvMHCV,6:32 AM - 19 Dec 2014
@king_louie35,"Grand Saline, TX",This day better go fast! #christmasbreak,5:54 AM - 19 Dec 2014
@savscav,,TGIF #christmasbreak,5:42 AM - 19 Dec 2014
@tpis_12,,Let's just get this over with #christmasbreak,4:53 AM - 19 Dec 2014
@RudyEli59,"Elsa, TX","It's Finally ""Friday!""  #ChristmasBreak",4:42 AM - 19 Dec 2014
@jedipadmaster,,#christmasbreak Today @RUESRCSD #TeachersBeLikepic.twitter.com/bn2Wj5UlDF,4:14 AM - 19 Dec 2014
@MsGarciaLHS,"Leander, TX",It's been a crazy week that has almost come to an end! Just 2 more finals between us and #christmasbreak! #wegotthis #earlyreleaseday #lions,3:43 AM - 19 Dec 2014
@54DuncanDerrick,"Emporia, KS",Watched over 12 hours of Netflix today! #christmasbreak,12:48 AM - 19 Dec 2014
@nickcaamano10,,Feels good to be home #christmasbreak ,9:36 PM - 18 Dec 2014
@WillBitten14,"Ottawa, Ontario","Huge win tonight from the boys, nothing better then heading home with a dub #christmasbreak #Otown #cominghome",8:42 PM - 18 Dec 2014
@AlexDiCarlo3,Toronto / London,Home sweet home. #christmasbreak,8:33 PM - 18 Dec 2014
@mitchell_lierz,BCK,I can't wait to not take a shower for as long as I want and not be judged for it. #christmasbreak,8:32 PM - 18 Dec 2014
@alysssamonaee,,I'm so excited to sleep and not have an alarm wake me up. #christmasbreak,8:07 PM - 18 Dec 2014
@_CRAIGPEOPLES_,United States,Hey guys. One more day...ONE.MORE.DAY then #Christmasbreak,6:12 PM - 18 Dec 2014
@tcshipman18,"Ames, IA",Only one more day! #christmasbreak,6:09 PM - 18 Dec 2014
@LaurenMack22,,You're only a day away #CHRISTMASBREAK ,3:08 PM - 18 Dec 2014
@TylerDavis93,,"Rocked my final, got $140 back for my books, got free chick for lunch, and now I'm home. Why can't everyday be like today? #christmasbreak",2:42 PM - 18 Dec 2014
@Macie_brooke01,,feliz navidone with this semester #ChristmasBreak ,1:36 PM - 18 Dec 2014
@drewlarsen2,United States,Who wanna party!! #christmasbreak,10:04 AM - 18 Dec 2014
@beafernandez9,,& we be outchea #christmasbreak ,8:53 AM - 18 Dec 2014
@a_rice9,"Minnetonka, MN","When someone corrects me with ""winter break"" when I say ""Christmas break"" pffttt please. #CHRISTMASBREAK ",8:37 AM - 18 Dec 2014
@anna_walker7,"Atlanta, GA","Wake up, food, couch, nap, food, nap, food, sleep. Repeat. #ChristmasBreak",5:03 PM - 17 Dec 2014
@abcox21,,Can this week just get over with already..? #Christmasbreak,4:21 PM - 17 Dec 2014
@Keni_Lu,,"Every time my parents yell at me, I just remind them that I'm not pregnant, married, a stripper, or a drug addict. #christmasbreak",3:36 PM - 17 Dec 2014
@stetson_sanford,,"When you wake up at noon everyday, your day is really shot. #ChristmasBreak",2:40 PM - 17 Dec 2014
@turnzie,"Riverside, Ontario, Canada",Imagine how drunk everyone in Germany got when the Berlin Wall fell lol thats going to be me at Bull tonight #liberated #christmasbreak,9:20 AM - 17 Dec 2014
@NateisFly,Batangas City,Kapit lang guys. We're almost there. #ChristmasBreak ,2:38 AM - 17 Dec 2014
@And_Moore,,I forgot how much I loved to read. Literally had to leave my book in the kitchen so I didn't stay up reading all night!  #christmasbreak,10:30 PM - 16 Dec 2014
@etiennevivash,"Ottawa, Ontario",3 more days. #christmasbreak,7:46 PM - 16 Dec 2014
@Jkieff125,,Got my workout in and watched a total of four movies today  #Christmasbreak,6:40 PM - 16 Dec 2014
@Daybird14,,The last 3 days of school are gonna feel like 3 months #christmasbreak,6:22 PM - 16 Dec 2014
@sableheese,"St. Louis, Mo",The fact that I just ate a hotdog and a pretzel for dinner #DisneyWorld #christmasbreak,5:01 PM - 16 Dec 2014
@10jstorey,"Columbus, OH","Woke up at 2pm and ate 10 cookies....
#ChristmasBreak",12:18 PM - 16 Dec 2014
@kfont98,m(ass)achusetts,It's all oVER #christmasbreak,7:29 AM - 16 Dec 2014
@laadee9,@chrisbrown,Two more days then #christmasbreak ,4:18 AM - 16 Dec 2014
@nolanderthal,,550 piece puzzle completed in a mere 2 hr 43 min #ThatCrazyCollegeLife #ChristmasBreakpic.twitter.com/qTHTXDNbEO,10:09 PM - 15 Dec 2014
@linds_schulte,,Friday cannot come soon enough! #ChristmasBreak,7:20 PM - 15 Dec 2014
@mollya1221,"Greenville, SC",only 4 more days until freedom and sleeping in everyday #Christmasbreak,6:58 PM - 15 Dec 2014
@DiDiN_Schrid,"Melbourne, Victoria",Exhausted from not doing anything all day #christmasbreak,1:48 PM - 15 Dec 2014
@Cmunro_1820,Bridgewater,Countdown is on. #oneweek #christmasbreak,5:13 AM - 15 Dec 2014
@peytshea1852,"Cookeville, TN","Netflix, Trivia Crack, cereal, repeat. #christmasbreak",11:38 PM - 14 Dec 2014
@Haileenelly,,5MOREDAYS #christmasbreak,8:28 PM - 14 Dec 2014
@_kp23_,"Omaha, NE  ➡️ Lincoln, NE",Looking passed finals week. #christmasbreak,8:14 PM - 14 Dec 2014
@teddywestside27,"Santa Ana, CA",Christmas came early: Two Modified Days in one Week. #christmasbreakpic.twitter.com/3MoaicnIT1,8:10 PM - 14 Dec 2014
@TheKateGillen,,Last week people  #christmasbreak #5moredays,7:05 PM - 14 Dec 2014
@michaelcarlos_,,this will probably be the longest week of our lives. #christmasbreak,5:42 PM - 14 Dec 2014
@itstylerrussell,"Nashville, TN",It's happening… It's time to watch Elf. This movie is perfect. #ChristmasBreak #TisTheSeason,5:29 PM - 14 Dec 2014
@Morrissey_18,HSH,Friday can't come soon enough #ChristmasBreak,4:27 PM - 14 Dec 2014
@Collin_Tedford,"Missouri, USA",Ready to get this week over with! #christmasbreak,3:09 PM - 14 Dec 2014
@acyoung97,"Butler, Co. Missouri",Praying this next week flys by  #Christmasbreak,11:05 AM - 14 Dec 2014
@gracie_leilani,,THURSDAY 11:30 WILL BE SO GREAT #CHRISTMASBREAK ,10:16 AM - 14 Dec 2014
@dechanaaaaaaaaa,,last week of school  #christmasbreak ,8:57 AM - 14 Dec 2014
@JakeSlaker_,Michigan/California,Feels so good to be home and sleep in your own bed #ChristmasBreak,8:29 AM - 14 Dec 2014
@nhoskins34,,The weekend is a lot better when I know I don't have to dread Monday! #ChristmasBreak,6:34 PM - 13 Dec 2014
@ArcadeSushi,Philadelphia,Me when I go on vacation #christmasbreakpic.twitter.com/246ShzlpDx,3:20 PM - 13 Dec 2014
@joeymiuccio,,Finally sweater weather  #sweaterweather #Christmasbreak http://instagram.com/p/whkZw6EyY0/ ,3:06 PM - 12 Dec 2014
@efarrell42,North Carolina,NO MORE PENCILS NO MORE BOOKS NO MORE TEACHERS DIRTY LOOKS!!! #ChristmasBreak,6:05 AM - 12 Dec 2014
@NateJohnston98,Stl,1 more week....  #christmasbreak,5:43 AM - 12 Dec 2014
@KyFli2424,"Columbia City, IN",Can't even explain this feeling of knowing that I don't have any school to do for the whole next month >>>>>> #ChristmasBreak #SoHappy,8:39 PM - 11 Dec 2014
@libbyjoyball,liberty center,"After school tomorrow , we've only got ABOUT A WEEK TO GO, WEEK TO GO 
#christmasbreak ",4:17 PM - 11 Dec 2014
@audrateague,"Jackson, Tennessee",I'm so excited that I get to cook for 5 tonight instead of 3! #christmasbreak #theboysarecominghome,2:09 PM - 11 Dec 2014
@lauraebert_spt,,NO MORE PENCILS NO MORE BOOKS NO MORE TEACHERS DIRTY LOOKS!!! #christmasbreak ,1:57 PM - 11 Dec 2014
@AlyssaDeLong_,nackawic.,"""I can't even get abbreviated when I get home because no one knows what that means."" #RigSquadProbs #ChristmasBreak.",11:42 AM - 11 Dec 2014
@jake_breese,"Westphalia, MO","A month at home with no homework, test, or worries.. I think I can handle that! #ChristmasBreak",9:09 AM - 11 Dec 2014
@Hohlbe10,"Upland, IN",LET FREEDOM RING. #Done #christmasbreak,7:58 AM - 11 Dec 2014
@Karly_Danielle1,,Officially done with the fall semester  #christmasbreak,7:49 AM - 11 Dec 2014
@Eric_Sjostrom,,When it hits you that you're free for a month after you finish finals. #christmasbreakpic.twitter.com/xPcw94GTCo,3:23 AM - 11 Dec 2014
@liz_lott5,,About to decide who gets to go and who has to stay #christmasbreakpic.twitter.com/CCnwGX8A7z,8:50 PM - 10 Dec 2014
@laurashall93,"SAN MARCOS,TX",Cause the semester is over & it's ladies night... #ChristmasBreak @paytonalinnpic.twitter.com/KlaUfJkWH7,8:07 PM - 10 Dec 2014
@PKDub007,"Miami, FL",I am officially decommitting from The University of Tennessee for the semester. #Done #ChristmasBreak,7:19 PM - 10 Dec 2014
@Susana_Valdivia,,A month and a half of no worries  #ChristmasBreak,5:15 PM - 10 Dec 2014
@ImFultron,Missouri,First semester of college down  Game tomorrow then back home for a month! #christmasbreak,8:30 AM - 10 Dec 2014
@kaitlinevans03,Edmond,Finished with finals!! Treat Yo Self day officially starts by going back to bed and sleeping til lunch. #ChristmasBreak,6:55 AM - 10 Dec 2014
@karly759,,"All I want is a break, I'm tired all the time and need some freaking sleep... #ChristmasBreak",6:43 PM - 9 Dec 2014
@cassidy_27,,My motivation for school is completely lost  #christmasbreak #hurryup ,6:54 PM - 8 Dec 2014
@ChrisChinea_20,Miami  ✈️ BR  ✈️ Springfield,Miami bound #christmasbreak #5weeks,6:16 PM - 8 Dec 2014
@courtaaaaah,,Thursday can't come soon enough.. #Christmasbreak ,4:40 PM - 8 Dec 2014
@DearAnnaPearcy,"Arlington, TX",I just want to sleep all day and watch Netflix and go see Christmas lights and eat good barbecue. #christmasbreak #soready,6:25 AM - 8 Dec 2014
@mikhaylawolfe13,snapchat- mikhaylawolfe13,Just two more full weeks #ChristmasBreak ,6:17 PM - 7 Dec 2014
@RudyEli59,"Elsa, TX",It's Only This Week & Next! #ChristmasBreak ,8:40 AM - 7 Dec 2014
